GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mybatis-spring,org.mybatis.spring.batch,MyBatisCursorItemReader,0,87,0,8,0,29,0,12,0,8
mybatis-spring,org.mybatis.spring.batch,MyBatisBatchItemWriter,52,107,4,12,4,29,5,12,1,8
mybatis-spring,org.mybatis.spring.batch,MyBatisPagingItemReader,1,96,0,4,1,25,1,8,1,6
mybatis-spring,org.mybatis.spring,SqlSessionUtils.SqlSessionSynchronization,112,103,6,8,6,38,13,8,7,7
mybatis-spring,org.mybatis.spring,MyBatisExceptionTranslator,8,62,4,8,3,15,4,5,0,3
mybatis-spring,org.mybatis.spring,SqlSessionUtils,72,178,3,19,2,49,11,15,8,7
mybatis-spring,org.mybatis.spring,MyBatisSystemException,0,5,0,0,0,2,0,1,0,1
mybatis-spring,org.mybatis.spring,SqlSessionTemplate,110,124,0,0,23,29,19,18,19,18
mybatis-spring,org.mybatis.spring,SqlSessionFactoryBean,176,471,7,63,18,117,19,56,13,27
mybatis-spring,org.mybatis.spring,SqlSessionTemplate.SqlSessionInterceptor,5,78,5,7,0,20,5,3,0,2
mybatis-spring,org.mybatis.spring,SqlSessionHolder,0,27,0,0,0,10,0,4,0,4
mybatis-spring,org.mybatis.logging,LoggerFactory,9,6,0,0,2,1,2,1,2,1
mybatis-spring,org.mybatis.logging,Logger,32,18,3,1,8,7,5,3,3,3
mybatis-spring,org.mybatis.spring.config,MapperScannerBeanDefinitionParser,10,96,0,6,2,27,0,5,0,2
mybatis-spring,org.mybatis.spring.config,NamespaceHandler,0,10,0,0,0,3,0,2,0,2
mybatis-spring,org.mybatis.spring.batch.builder,MyBatisBatchItemWriterBuilder,0,50,0,2,0,16,0,7,0,6
mybatis-spring,org.mybatis.spring.batch.builder,MyBatisCursorItemReaderBuilder,0,64,0,4,0,20,0,9,0,7
mybatis-spring,org.mybatis.spring.batch.builder,MyBatisPagingItemReaderBuilder,0,78,0,6,0,24,0,11,0,8
mybatis-spring,org.mybatis.spring.support,SqlSessionDaoSupport,12,34,3,3,2,10,4,7,2,6
mybatis-spring,org.mybatis.spring.mapper,ClassPathMapperScanner,78,246,8,24,8,66,12,27,5,18
mybatis-spring,org.mybatis.spring.mapper,MapperScannerConfigurer,19,196,4,12,9,61,8,19,4,15
mybatis-spring,org.mybatis.spring.mapper,MapperFactoryBean,27,67,0,4,3,23,0,12,0,10
mybatis-spring,org.mybatis.spring.mapper,ClassPathMapperScanner.new AssignableTypeFilter() {...},0,9,0,0,0,2,0,2,0,2
mybatis-spring,org.mybatis.spring.transaction,SpringManagedTransaction,49,95,6,14,2,26,8,13,3,8
mybatis-spring,org.mybatis.spring.transaction,SpringManagedTransactionFactory,6,8,0,0,2,2,2,2,2,2
mybatis-spring,org.mybatis.spring.annotation,MapperScannerRegistrar.RepeatingRegistrar,0,25,1,1,0,7,1,3,0,3
mybatis-spring,org.mybatis.spring.annotation,MapperScannerRegistrar,0,138,2,10,0,41,2,8,0,4
